id,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
9336717,1380,HOUSE,HOUSE,450000,3,136,1,0,0,1,0,1,1500,1630,3,0,GOOD
9326901,2630,APARTMENT,APARTMENT,289000,2,91,0,0,0,1,24,0,0,0,,0,AS_NEW
9342255,1420,APARTMENT,PENTHOUSE,693450,3,230,1,0,0,1,53,0,0,0,,0,AS_NEW
9367201,5555,HOUSE,HOUSE,300000,4,158,1,0,0,1,30,1,431,431,4,0,AS_NEW
9409683,8587,APARTMENT,APARTMENT,198000,2,90,1,0,0,1,6,0,0,0,,0,AS_NEW
8942614,7110,HOUSE,HOUSE,135000,4,120,1,0,0,1,0,0,0,320,2,0,GOOD
9425219,1060,APARTMENT,DUPLEX,235000,3,110,0,0,0,1,7,0,0,0,,0,TO_RESTORE
9401890,2140,HOUSE,HOUSE,448500,4,211,1,0,0,1,26,0,0,120,2,0,JUST_RENOVATED
9343516,1950,HOUSE,HOUSE,875000,5,241,1,0,0,1,0,0,0,599,4,0,GOOD
9429606,8300,APARTMENT,APARTMENT,595000,3,,1,0,0,1,0,0,0,0,2,0,JUST_RENOVATED
9270971,9185,HOUSE,HOUSE,425000,3,153,0,0,0,0,0,0,0,1069,,0,AS_NEW
9223392,1050,APARTMENT,APARTMENT,290000,1,70,0,0,0,1,4,0,0,0,,0,GOOD
9422337,2440,HOUSE,HOUSE,419900,4,236,0,0,0,0,0,0,0,1249,,0,AS_NEW
9372164,2610,APARTMENT,APARTMENT,199000,2,88,1,0,0,1,4,0,0,0,,0,GOOD
8950151,1933,APARTMENT,APARTMENT,795000,2,157,1,0,0,1,30,0,0,0,2,0,AS_NEW
9221611,8780,APARTMENT,APARTMENT,190000,2,108,0,0,0,1,0,0,0,0,,0,AS_NEW
9224237,4053,HOUSE,HOUSE,375000,5,170,1,0,0,1,116,0,0,900,4,0,GOOD
9201532,9750,APARTMENT,APARTMENT,275000,2,88,0,0,0,1,0,1,0,0,,0,AS_NEW
9210467,8501,HOUSE,HOUSE,150000,3,,0,0,0,0,0,0,0,0,,0,GOOD
9367226,8560,APARTMENT,APARTMENT,240000,2,100,0,0,0,1,12,0,0,0,2,0,GOOD
9288232,3800,HOUSE,VILLA,445000,3,170,1,0,0,0,0,0,0,2210,,0,AS_NEW
9085208,1070,APARTMENT,APARTMENT,299000,2,,1,1,0,1,2,0,0,0,2,0,AS_NEW
9420167,2040,HOUSE,COUNTRY_COTTAGE,150000,1,,0,0,0,0,0,0,0,11329,4,0,TO_RESTORE
8889281,8370,APARTMENT,APARTMENT,549000,5,340,0,0,0,0,0,0,0,0,2,0,GOOD
9433624,2400,HOUSE,HOUSE,249000,3,165,0,0,0,0,0,0,0,469,3,0,TO_RENOVATE
9335285,1390,HOUSE,VILLA,1375000,4,550,0,0,1,0,0,0,0,10461,4,1,GOOD
8914762,9506,HOUSE,VILLA,395000,3,254,1,0,0,1,60,1,800,1093,4,0,AS_NEW
9319534,7700,APARTMENT,APARTMENT,185000,2,90,1,0,0,1,0,0,0,0,4,0,GOOD
9387203,4030,HOUSE,HOUSE,225000,3,102,1,0,0,0,0,1,156,202,2,0,GOOD
9339384,8900,HOUSE,HOUSE,157500,2,96,1,0,0,0,0,0,0,132,2,0,GOOD
9421504,4020,HOUSE,HOUSE,159900,2,85,0,0,0,1,11,1,45,184,2,0,TO_RENOVATE
9430908,1150,APARTMENT,APARTMENT,395000,2,110,1,0,0,1,11,0,0,0,2,0,AS_NEW
9413890,6791,APARTMENT,APARTMENT,259000,3,114,1,0,0,0,0,0,0,0,4,0,GOOD
9409677,9900,HOUSE,HOUSE,320000,3,,0,0,0,0,0,0,0,273,4,0,JUST_RENOVATED
9429045,2140,APARTMENT,APARTMENT,219000,1,71,1,0,0,1,3,1,0,0,2,0,JUST_RENOVATED
9346976,6230,HOUSE,HOUSE,229000,2,168,1,0,0,1,30,1,820,960,3,0,GOOD
9319143,4300,HOUSE,HOUSE,185000,3,119,1,0,0,1,0,1,0,402,3,0,TO_BE_DONE_UP
9418088,8800,HOUSE,VILLA,430000,4,239,1,0,0,1,25,1,300,800,4,0,AS_NEW
9397999,2950,HOUSE,COUNTRY_COTTAGE,469000,3,,0,0,1,1,1,1,630,630,4,0,GOOD
9420081,4000,HOUSE,APARTMENT_BLOCK,295000,3,,0,0,0,0,0,0,0,0,3,0,GOOD
9185606,9600,HOUSE,HOUSE,231376,2,96,1,0,0,1,17,0,0,113,2,0,GOOD
9416936,6900,HOUSE,HOUSE,172000,2,79,1,0,0,0,0,1,66,124,2,0,GOOD
8772371,8840,APARTMENT,APARTMENT,259000,2,,0,0,0,0,0,0,0,0,2,0,GOOD
9362396,8000,HOUSE,HOUSE,1995000,7,580,0,0,1,1,358,0,0,828,2,0,AS_NEW
9359014,1640,APARTMENT,GROUND_FLOOR,295000,1,60,1,0,0,1,17,0,0,0,3,0,AS_NEW
9320041,7080,HOUSE,HOUSE,127500,2,125,1,0,0,1,30,0,0,95,3,0,AS_NEW
9086725,4780,HOUSE,APARTMENT_BLOCK,495000,6,190,1,0,0,1,0,0,0,0,2,0,GOOD
9361562,2890,HOUSE,HOUSE,200000,2,100,1,0,0,0,0,1,380,489,3,0,TO_RENOVATE
9221199,8970,HOUSE,HOUSE,159000,4,,0,0,0,0,0,0,0,183,2,0,GOOD
9215837,7321,HOUSE,HOUSE,100000,2,103,1,0,0,1,0,0,0,40,2,0,AS_NEW
9398420,1410,APARTMENT,APARTMENT,430000,1,96,0,0,0,1,50,0,0,0,,0,AS_NEW
9415194,8200,APARTMENT,PENTHOUSE,305000,2,73,1,0,0,0,0,1,0,0,2,0,AS_NEW
9382281,8400,APARTMENT,APARTMENT,375000,2,100,1,0,0,1,10,0,0,0,2,0,GOOD
9382173,1200,APARTMENT,APARTMENT,795000,3,172,1,0,0,1,7,0,0,0,,0,AS_NEW
9334996,1380,HOUSE,HOUSE,430000,3,140,1,0,0,0,0,0,0,435,3,0,JUST_RENOVATED
9399757,4000,APARTMENT,APARTMENT,195000,3,122,1,0,0,0,0,0,0,0,3,0,AS_NEW
9423288,7110,APARTMENT,APARTMENT,190000,3,160,1,0,0,1,0,0,0,0,,0,GOOD
9339771,1730,HOUSE,HOUSE,565000,3,321,1,0,0,1,8,0,0,187,3,0,AS_NEW
9378395,2360,HOUSE,VILLA,695000,4,384,1,0,0,1,0,1,0,982,,0,GOOD
9272839,1040,APARTMENT,APARTMENT,325000,2,80,1,0,0,1,9,0,0,0,,0,GOOD
9380193,3110,HOUSE,HOUSE,140000,3,,0,0,0,0,0,0,0,715,4,0,TO_RENOVATE
9359135,1330,APARTMENT,APARTMENT,229000,1,61,1,0,0,1,3,0,0,0,,0,GOOD
8790030,1180,HOUSE,TOWN_HOUSE,579000,5,200,1,0,1,1,6,1,35,100,2,0,AS_NEW
9414125,8800,APARTMENT,APARTMENT,215000,4,150,0,0,0,1,0,0,0,0,2,0,GOOD
9362098,1861,HOUSE,MIXED_USE_BUILDING,330000,2,185,1,0,1,1,0,0,0,141,2,0,TO_BE_DONE_UP
9413741,2610,APARTMENT,GROUND_FLOOR,199000,2,72,1,0,0,1,32,1,32,0,2,0,GOOD
8929135,8900,HOUSE,HOUSE,340000,4,148,0,0,0,1,33,0,0,0,4,0,AS_NEW
8757673,7500,HOUSE,MIXED_USE_BUILDING,135000,1,,0,0,0,0,0,0,0,56,1,0,TO_RENOVATE
9290944,7700,APARTMENT,DUPLEX,260000,3,106,1,0,0,1,23,0,0,0,,0,AS_NEW
9418718,3001,HOUSE,HOUSE,395000,3,130,1,0,0,1,12,1,0,144,2,0,TO_BE_DONE_UP
9400573,9000,APARTMENT,FLAT_STUDIO,170000,0,20,1,0,0,1,4,1,50,0,,0,JUST_RENOVATED
8974372,6001,APARTMENT,APARTMENT,99000,2,60,1,0,0,1,0,0,0,0,,0,TO_BE_DONE_UP
9363130,8780,HOUSE,HOUSE,283100,3,157,0,0,0,0,0,0,0,220,3,0,AS_NEW
9311057,2018,APARTMENT,TRIPLEX,649000,4,160,1,0,1,1,20,0,0,0,2,0,GOOD
9340333,2830,HOUSE,HOUSE,359000,3,130,1,0,0,0,0,1,0,579,4,0,GOOD
9223969,9070,APARTMENT,APARTMENT,399000,3,260,1,0,0,0,0,1,0,0,,0,AS_NEW
9414261,6769,HOUSE,HOUSE,99000,2,110,0,0,0,0,0,0,0,0,2,0,TO_RENOVATE
8903406,9100,APARTMENT,APARTMENT,199000,1,62,0,0,0,0,0,0,0,0,,0,AS_NEW
9373534,2200,APARTMENT,APARTMENT,398000,3,260,1,0,0,1,30,0,0,0,2,0,GOOD
9423705,1210,HOUSE,HOUSE,250000,3,115,0,0,0,0,0,0,0,0,2,0,TO_RENOVATE
9361367,1180,APARTMENT,DUPLEX,295000,2,90,0,0,0,1,6,0,0,0,2,0,TO_RENOVATE
9389790,3090,HOUSE,HOUSE,369000,3,130,1,0,0,0,0,0,0,0,,0,GOOD
9425480,9500,HOUSE,HOUSE,295000,3,195,0,0,0,1,45,1,50,357,4,0,TO_RENOVATE
9352383,4000,APARTMENT,APARTMENT,240000,2,115,1,0,0,1,0,1,150,0,2,0,AS_NEW
9424728,5060,HOUSE,HOUSE,200000,4,155,1,0,0,1,23,1,130,200,2,0,TO_BE_DONE_UP
9026335,2610,APARTMENT,DUPLEX,469000,3,215,1,0,0,1,0,0,0,0,2,0,AS_NEW
9436273,8400,APARTMENT,APARTMENT,265000,3,200,1,0,0,0,0,0,0,0,2,0,TO_BE_DONE_UP
8888806,7110,APARTMENT,APARTMENT,150000,4,200,1,0,0,0,0,0,0,0,2,0,GOOD
8880281,7700,HOUSE,TOWN_HOUSE,155000,3,120,1,0,0,1,0,1,150,250,3,0,GOOD
8729656,8900,APARTMENT,APARTMENT,395000,3,126,0,0,0,1,17,0,0,0,4,0,AS_NEW
9372069,9420,HOUSE,APARTMENT_BLOCK,495000,5,195,0,0,0,1,0,0,0,201,2,0,GOOD
9380160,7300,HOUSE,HOUSE,500000,4,287,1,0,0,1,0,0,0,4680,4,0,TO_BE_DONE_UP
